birth,death,raw_death,edge_id
0.0,3.79580682117561,0.003274313130640305,166
0.0,4.253529408379298,0.003669150683782041,241
0.0,4.282817630365623,0.0036944150911507045,15
0.0,4.362373391225986,0.0037630409419052713,158
0.0,4.405119081073831,0.003799913938909827,126
0.0,4.411715499767445,0.003805604096855486,238
0.0,4.576350942783682,0.003947620805880181,198
0.0,4.810607756950631,0.004149693829799572,174
0.0,4.829144601554061,0.004165683956943833,45
0.0,4.846657993402473,0.004180791240215309,115
0.0,5.30981692934489,0.004580318259627736,128
0.0,5.3315662112969004,0.004599079477685564,176
0.0,5.410719915353802,0.004667358508927744,160
0.0,5.4190634496628896,0.004674555751893794,173
0.0,5.734504702408889,0.0049466595454930595,120
0.0,5.857589826070417,0.005052834399899009,135
0.0,6.588468997424538,0.005683300432660687,16
0.0,6.86884884308764,0.005925159793126578,203
0.0,7.14413421171168,0.006162624590368204,132
0.0,7.627441195257289,0.006579531581926701,149
0.0,8.133770227675354,0.00701629769710993,116
0.0,8.519154442880412,0.007348735214516733,180
0.0,9.034562616742726,0.007793333117102841,226
0.0,9.166515906528282,0.007907157768812123,205
0.0,9.22634224295365,0.007958764757298176,200
0.0,9.640604593603916,0.008316112936003428,222
0.0,10.133888622958327,0.008741626259136683,0
0.0,10.372248628756912,0.008947238750386721,204
0.0,10.550454084871005,0.009100961132055607,207
0.0,11.041254407455378,0.0095243319769035,197
0.0,11.2180275063982,0.00967681878834592,201
0.0,11.36399384801824,0.009802731283768962,10
0.0,11.561107197875018,0.009972763864473544,223
0.0,12.108538149546648,0.010444985038422061,155
0.0,13.633267222626891,0.011760236488207232,209
0.0,14.991401691509846,0.012931781230639983,195
0.0,15.511780013790668,0.013380666448939094,140
0.0,16.444937573297217,0.014185620492702111,218
0.0,16.56365036052977,0.014288023711918119,124
0.0,16.75077741902836,0.01444944198571485,224
0.0,17.470020254504337,0.015069870361358206,12
0.0,17.539909460499615,0.015130157714129622,183
0.0,17.851976926873437,0.015399351235015124,118
0.0,18.06187842821325,0.015580415044201601,127
0.0,18.3942854589753,0.015867153742143092,151
0.0,18.638916339655943,0.016078175572944442,8
